"grid","easting","northing","era5_raw","era5_smooth","residual_pct"
"HY42",345000,1025000,945027.093333333,945449.048955271,-0.0446301810133892
"HY43",345000,1035000,944796.871111111,944772.38944763,0.00259127634911766
"HY44",345000,1045000,944796.871111111,942990.464024948,0.191561543311151
"HY45",345000,1055000,937320.32,940194.878125105,-0.305740670576398
"HY50",355000,1005000,958871.982222222,955098.03251234,0.39513741850717
"HY51",355000,1015000,958871.982222222,954729.228751697,0.433919204080746
"HY52",355000,1025000,958871.982222222,954058.635672828,0.504512654612611
"HY53",355000,1035000,949551.733333333,952411.311799051,-0.300246167836424
"HY54",355000,1045000,949551.733333333,949533.158613163,0.00195619499982439
"HY55",355000,1055000,939694.737777778,945621.632856268,-0.626772365664673
"HY60",365000,1005000,966383.004444444,964522.039251601,0.19294169724598
"HY61",365000,1015000,966383.004444444,963271.473934976,0.323016988840893
"HY62",365000,1025000,966383.004444444,961644.143697705,0.492787355675846
"HY63",365000,1035000,955267.377777778,959032.409265821,-0.392586470662154
"HY64",365000,1045000,955267.377777778,955150.774408093,0.0122078495677327
"HY72",375000,1025000,966383.004444444,967661.544973474,-0.132126830467886
"HY73",375000,1035000,955267.377777778,964196.385144539,-0.926056922047386
"HY74",375000,1045000,955267.377777778,959573.419868674,-0.448745453108266
"HY75",375000,1055000,942224.053333333,954037.556401391,-1.23826394346759
"HZ16",415000,1065000,950391.52,955348.500964701,-0.518866252440383
"HZ17",415000,1075000,950391.52,948427.55515679,0.207075894466752
"HZ26",425000,1065000,952994.648888889,957346.251119682,-0.454548417116999
"HZ27",425000,1075000,952994.648888889,950367.478387397,0.276437332004427
"NA00",5000,905000,977398.026666667,969681.936822888,0.795734101128095
"NA10",15000,905000,978624.853333333,968442.187797752,1.05144795052113
"NA64",65000,945000,959432.693333333,948055.40766868,1.20006547851782
"NA74",75000,945000,955527.342222222,949327.017504516,0.653128437659487
"NA80",85000,905000,959935.84,964190.634366045,-0.441281445224059
"NA81",85000,915000,959935.84,959957.529662327,-0.00225943978316821
"NA90",95000,905000,959935.84,962849.75452481,-0.302634394526866
"NA91",95000,915000,959935.84,959645.239633426,0.0302820620133197
"NA92",95000,925000,959935.84,957051.821340679,0.301344043761443
"NA93",95000,935000,955262.506666667,954999.003472838,0.027591986260785
"NB00",105000,905000,959552.142222222,961320.034133856,-0.183902534937504
"NB01",105000,915000,959552.142222222,959398.074586135,0.0160587810386528
"NB02",105000,925000,959552.142222222,957840.266320379,0.178722482446887
"NB03",105000,935000,953805.137777778,956670.690983714,-0.29953391830056
"NB04",105000,945000,953805.137777778,955713.304049652,-0.199658858340531
"NB10",115000,905000,959269.191111111,959475.345062265,-0.0214861124066658
"NB11",115000,915000,959269.191111111,959063.552808588,0.0214415720335223
"NB12",115000,925000,959269.191111111,958709.694437085,0.0583593424863241
"NB13",115000,935000,962442.88,958466.31028907,0.414888835240404
"NB14",115000,945000,962442.88,958135.04361112,0.449606390832314
"NB20",125000,905000,959269.191111111,956892.12426665,0.24841534214562
"NB21",125000,915000,959269.191111111,958183.500739314,0.113307145339018
"NB22",125000,925000,962442.88,959183.045016569,0.339855359242206
"NB23",125000,935000,962442.88,959925.681064069,0.262228523060289
"NB24",125000,945000,962442.88,960266.989174519,0.22659227589936
"NB25",125000,955000,956316.16,960019.477634649,-0.38575442695951
"NB30",135000,905000,961313.244444444,953017.208211385,0.870502249233143
"NB31",135000,915000,961313.244444444,956128.246594246,0.542291043975225
"NB32",135000,925000,968045.546666667,958622.206848159,0.983008713045626
"NB33",135000,935000,968045.546666667,960518.479161238,0.783646298195321
"NB34",135000,945000,968045.546666667,961662.504809726,0.663750725957992
"NB35",135000,955000,955495.715555556,961911.971650389,-0.667031525122267
"NB40",145000,905000,956034.417777778,947418.83612417,0.909374114710838
"NB41",145000,915000,956034.417777778,952393.520850385,0.382289132347544
"NB42",145000,925000,962597.92,956511.426516954,0.636322088195992
"NB43",145000,935000,962597.92,959712.522918732,0.300652227866414
"NB44",145000,945000,962597.92,961814.9959289,0.0814006928997637
"NB45",145000,955000,957821.76,962732.151970254,-0.51004757244313
"NB46",145000,965000,955495.715555556,962389.286083802,-0.716297513690925
"NB52",155000,925000,962597.92,952602.351685272,1.04929074519342
"NB53",155000,935000,962597.92,957212.441564763,0.562621023441062
"NB54",155000,945000,962597.92,960431.504708332,0.225566870833352
"NB55",155000,955000,957821.76,962155.459455499,-0.45041572158739
"NB56",155000,965000,957821.76,962391.108605263,-0.474791232421599
"NB90",195000,905000,900885.013333333,904031.34753359,-0.348033750028779
"NB91",195000,915000,900885.013333333,916352.779622382,-1.68797068476436
"NB93",195000,935000,930447.377777778,937285.306849884,-0.729546171494725
"NC00",205000,905000,891840.142222222,895861.343052967,-0.448864197783286
"NC01",205000,915000,891840.142222222,909050.675091312,-1.89324240558549
"NC02",205000,925000,924277.991111111,921355.648554393,0.317178557629039
"NC03",205000,935000,924277.991111111,932020.924812298,-0.830768225804163
"NC10",215000,905000,891840.142222222,889361.137917208,0.278739895338826
"NC11",215000,915000,891840.142222222,902988.341851181,-1.2345895414446
"NC12",215000,925000,924277.991111111,915900.533669107,0.91466891152954
"NC13",215000,935000,924277.991111111,927267.864732154,-0.322439042132257
"NC14",215000,945000,924277.991111111,936365.067046199,-1.29085079745836
"NC15",215000,955000,954035.288888889,942862.145343371,1.1850240886963
"NC16",215000,965000,954035.288888889,946611.93888241,0.784202026359714
"NC20",225000,905000,881812.533333333,885387.969459795,-0.403827050941697
"NC21",225000,915000,881812.533333333,898900.169437365,-1.90094925832837
"NC22",225000,925000,920560.284444444,911886.835579285,0.951154082584097
"NC23",225000,935000,920560.284444444,923432.53325762,-0.311040461509754
"NC24",225000,945000,920560.284444444,932767.95393913,-1.30875738635016
"NC25",225000,955000,951753.528888889,939375.569566732,1.31767950148692
"NC26",225000,965000,951753.528888889,943156.392518951,0.911528187491481
"NC27",225000,975000,959737.315555556,944445.905910096,1.61908792761658
"NC30",235000,905000,884062.524444444,884614.069870782,-0.0623487060767599
"NC31",235000,915000,884062.524444444,897487.816893809,-1.49587461764434
"NC32",235000,925000,919963.271111111,909887.374786324,1.10737840792145
"NC33",235000,935000,919963.271111111,920920.356841984,-0.103927090302935
"NC34",235000,945000,919963.271111111,929775.522287189,-1.05533550205116
"NC35",235000,955000,946497.511111111,935944.388755632,1.12753732831387
"NC36",235000,965000,946497.511111111,939375.2895263,0.758187027508719
"NC37",235000,975000,949796.177777778,940443.992089438,0.994443663525559
"NC40",245000,905000,885657.617777778,887665.270486948,-0.226172271904829
"NC41",245000,915000,884062.524444444,899222.372088962,-1.68588417226543
"NC42",245000,925000,919963.271111111,910275.907004149,1.06422283973705
"NC43",245000,935000,919963.271111111,919997.868411267,-0.00376058481695533
"NC44",245000,945000,919963.271111111,927641.194095942,-0.827682409286872
"NC45",245000,955000,946497.511111111,932792.765609232,1.46921652988247
"NC46",245000,965000,946497.511111111,935529.530499425,1.17238208459659
"NC47",245000,975000,949796.177777778,936142.339030366,1.45852165617831
"NC50",255000,905000,885657.617777778,894430.202940685,-0.980801535331081
"NC51",255000,915000,885657.617777778,904099.600148034,-2.03981755629981
"NC52",255000,925000,920409.724444444,913121.455600277,0.798170801865164
"NC53",255000,935000,920409.724444444,920802.256861113,-0.0426293934168045
"NC54",255000,945000,920409.724444444,926583.32721636,-0.666276047774581
